first_name,last_name,Number,Position,Height,Weight,Age,Exp,College
Tre,Avery,28,CB,5-11,185,29,3,Rutgers
Jerome,Baker,17,LB,6-2,232,29,8,OhioState
Brenden,Bates,82,TE,6-5,255,26,2,Kentucky
Joel,Bitonio,75,G,6-4,320,34,12,Nevada
Corey,Bojorquez,13,P,6-0,217,29,8,NewMexico
Isaiah,Bond,16,WR,5-11,180,21,0,Texas
Devin,Bush,30,LB,5-11,235,27,7,Michigan
Jeremiah,Byers,63,OT,6-4,320,24,0,FloridaState
Tyson,Campbell,7,CB,6-1,195,25,5,Georgia
Malachi,Corley,83,WR,5-11,215,23,2,WesternKentucky
Grant,Delpit,9,S,6-3,208,27,6,LSU
Mohamoud,Diabate,43,LB,6-4,225,24,3,Utah
Christopher,Edmonds,41,S,6-2,210,24,1,ArizonaState
Kingsley,Eguakun,65,C,6-3,305,24,1,Florida
Harold,Fannin Jr.,44,TE,6-4,241,21,0,BowlingGreen
Dillon,Gabriel,8,QB,5-11,205,25,0,Oregon
Myles,Garrett,95,DE,6-4,272,30,9,TexasA&M
Mason,Graham,94,DT,6-4,315,22,0,Michigan
Kendrick,Green,52,OL,6-4,315,27,5,Illinois
Mike,Hall Jr.,51,DT,6-3,300,22,2,OhioState
Myles,Harden,26,CB,5-11,195,24,2,SouthDakota
Shelby,Harris,93,DT,6-2,288,34,11,IllinoisState
Ronnie,Hickman,33,S,6-1,209,24,3,OhioState
Adin,Huntington,98,DT,6-1,281,23,0,Tulane
Rayshawn,Jenkins,5,S,6-1,220,32,9,Miami
Teven,Jenkins,74,G,6-6,321,27,5,OklahomaState
Jerry,Jeudy,3,WR,6-1,195,26,6,Alabama
Sam,Kamara,92,DT,6-0,272,28,3,StonyBrook
Gage,Larvadain,84,WR,5-8,171,23,0,SouthCarolina
KT,Leveston,72,T,6-4,335,26,2,KansasState
Cornelius,Lucas,71,T,6-8,327,34,11,KansasState
Easton,Mascarenas-Arnold,42,LB,5-11,227,23,0,USC
Isaiah,McGuire,57,DE,6-4,268,24,3,Missouri
Donovan,McMillon,31,S,6-2,203,23,0,Pittsburgh
David,Njoku,85,TE,6-4,246,29,9,Miami(Fla.)
Cam,Robinson,68,OT,6-6,335,30,9,Alabama
D'Angelo,Ross,20,CB,5-9,190,29,4,NewMexico
Dylan,Sampson,22,RB,5-8,200,21,0,Tennessee
Raheim,Sanders,35,RB,6-0,230,23,0,SouthCarolina
Shedeur,Sanders,12,QB,6-2,212,24,0,Colorado
Rex,Sunahara,50,LS,6-6,242,29,2,WestVirginia
Andre,Szmyt,25,K,6-0,200,27,1,Syracuse
Cameron,Thomas,99,DE,6-4,265,25,4,SanDiegoState
Jamari,Thrash,80,WR,6-0,190,25,2,Louisville
Cedric,Tillman,19,WR,6-3,215,25,3,Tennessee
Edefuan,Ulofoshio,54,LB,6-1,240,26,2,Washington
Denzel,Ward,21,CB,5-11,190,28,8,OhioState
Sam,Webb,27,CB,6-0,194,27,3,MissouriWestern
Blake,Whiteheart,86,TE,6-4,250,25,3,WakeForest
Trayveon,Williams,38,RB,5-8,206,28,7,TexasA&M
Alex,Wright,91,DE,6-5,267,25,4,UAB
Luke,Wypler,56,C,6-3,303,24,3,OhioState
Zak,Zinter,70,G,6-6,310,24,2,Michigan
Sal,Cannella,87,TE,6-5,242,29,1,Auburn
Jack,Conley,67,G,6-7,333,24,0,BostonCollege
Nik,Constantinou,--,P,6-3,225,N/A,0,TexasA&M
Luke,Floriea,81,WR,5-8,180,24,0,KentState
Ahmani,Marshall,23,RB,6-1,225,23,0,AppalachianState
Tyre,Phillips,69,T,6-5,330,29,4,MississippiState
Caden,Prieskorn,88,TE,6-5,255,26,0,Mississippi
Isaiah,Wooden,--,WR,5-9,170,N/A,0,SouthernUtahState
DeAndre,Carter,2,WR,5-8,190,32,8,SacramentoState
Maliek,Collins,96,DT,6-2,310,30,10,Nebraska
Jack,Conklin,78,T,6-6,308,31,10,MichiganState
Martin,Emerson Jr.,1,CB,6-2,201,25,4,MississippiState
Jerome,Ford,34,RB,5-10,210,26,4,Cincinnati
Dawand,Jones,79,T,6-8,374,24,3,OhioState
Dom,Jones,37,CB,6-2,192,25,0,ColoradoState
Quinshon,Judkins,10,RB,5-11,221,22,0,OhioState
Ethan,Pocic,55,C,6-6,320,30,9,LSU
Winston,Reid,59,LB,6-0,225,26,2,WeberState
Carson,Schwesinger,49,LB,6-3,242,23,0,UCLA
Wyatt,Teller,77,G,6-4,315,31,8,VirginiaTech
Nathaniel,Watson,40,LB,6-0,233,25,2,MississippiState
Jeremiah,Owusu-Koramoah,6,LB,6-2,221,26,5,NotreDame
Deshaun,Watson,4,QB,6-3,223,30,9,Clemson
David,Bell,18,WR,6-1,212,N/A,4,Purdue
Jordan,Hicks,58,LB,6-1,235,N/A,10,Texas
Elerson,G. Smith,52,DE,6-7,245,N/A,4,NorthernIowa
Keith,Cooper,66,DT,6-5,280,22,0,Houston
Darrian,Dalcourt,61,C,6-3,320,25,1,Alabama
Kaden,Davis,89,WR,6-1,193,27,1,NWMissouriStateUniversity
Wesley,French,62,G,6-4,307,29,4,WesternMichigan
K.J.,Henry,90,DE,6-4,255,27,3,Clemson
Maurice,Hurst II,97,DT,6-2,290,30,8,Michigan
Dee,Williams,29,CB,5-10,190,26,2,Tennessee
Bailey,Zappe,11,QB,6-1,215,26,4,WesternKentucky
Julian,Okwara,53,DE,6-4,250,28,6,NotreDame
