first_name,last_name,ATT,COMP,YDS,COMP PER,YDS/ATT,TD,TD Per,INT,INT Per,LONG,SCK,SCK LOST,RATE,REC,ASSIST,SCK,SFTY,F
Shedeur,Sanders,212,120,1400,56.6,6.6,7,3.3,10,4.7,66,23,164,68.1,,,23,,
Dillon,Gabriel,185,110,937,59.5,5.1,7,3.8,2,1.1,26,19,127,80.8,,,19,,
Joe,Flacco,160,93,815,58.1,5.1,2,1.2,6,3.8,35,9,54,60.3,,,9,,
Corey,Bojorquez,1,0,0,0,0,0,0,0,0,0,0,0,39.6,,,0,,
Quinshon,Judkins,0,0,0,,,0,,0,,0,0,0,,,,0,,
Quinshon,Judkins,230,,827,,3.6,7,,,,,,,,,,,,
Dylan,Sampson,65,,175,,2.7,0,,,,,,,,,,,,
Raheim,Sanders,27,,92,,3.4,1,,,,,,,,,,,,
Jerome,Ford,24,,73,,3,0,,,,,,,,,,,,
Shedeur,Sanders,21,,169,,8,1,,,,,,,,,,,,
Dillon,Gabriel,14,,86,,6.1,0,,,,,,,,,,,,
Malachi,Corley,13,,127,,9.8,0,,,,,,,,,,,,
Harold,Fannin Jr.,7,,13,,1.9,1,,,,,,,,,,,,
Trayveon,Williams,7,,37,,5.3,0,,,,,,,,,,,,
Joe,Flacco,6,,13,,2.2,0,,,,,,,,,,,,
Isaiah,Bond,5,,29,,5.8,0,,,,,,,,,,,,
Jerry,Jeudy,1,,5,,5,0,,,,,,,,,,,,
Gage,Larvadain,1,,3,,3,0,,,,,,,,,,,,
Harold,Fannin Jr.,,,731,,10.2,6,,,,,,,,72,,,,
Jerry,Jeudy,,,602,,12,2,,,,,,,,50,,,,
David,Njoku,,,293,,8.9,4,,,,,,,,33,,,,
Dylan,Sampson,,,271,,8.2,2,,,,,,,,33,,,,
Jerome,Ford,,,103,,4,0,,,,,,,,26,,,,
Quinshon,Judkins,,,171,,6.6,0,,,,,,,,26,,,,
Cedric,Tillman,,,270,,12.9,2,,,,,,,,21,,,,
Isaiah,Bond,,,338,,18.8,0,,,,,,,,18,,,,
Malachi,Corley,,,79,,7.2,0,,,,,,,,11,,,,
Jamari,Thrash,,,107,,10.7,0,,,,,,,,10,,,,
Gage,Larvadain,,,71,,10.1,0,,,,,,,,7,,,,
Trayveon,Williams,,,55,,7.9,0,,,,,,,,7,,,,
Raheim,Sanders,,,21,,7,0,,,,,,,,3,,,,
Brenden,Bates,,,25,,12.5,0,,,,,,,,2,,,,
Sal,Cannella,,,11,,5.5,0,,,,,,,,2,,,,
Blake,Whiteheart,,,4,,2,0,,,,,,,,2,,,,
Luke,Wypler,,,0,,,0,,,,,,,,0,,,,
Carson,Schwesinger,,,,,,,,,,,2.5,,,,90,2.5,0,0
Devin,Bush,,,,,,,,,,,2,,,,62,2,0,2
Ronnie,Hickman Jr.,,,,,,,,,,,0,,,,52,0,0,0
Grant,Delpit,,,,,,,,,,,3,,,,41,3,0,2
Myles,Garrett,,,,,,,,,,,23,,,,17,23,0,3
Tyson,Campbell,,,,,,,,,,,0,,,,21,0,0,1
Mohamoud,Diabate,,,,,,,,,,,0,,,,28,0,0,1
Mason,Graham,,,,,,,,,,,0.5,,,,21,0.5,0,0
Myles,Harden,,,,,,,,,,,0,,,,19,0,0,0
Rayshawn,Jenkins,,,,,,,,,,,0,,,,26,0,0,1
Jerome,Baker,,,,,,,,,,,1.5,,,,29,1.5,0,2
Denzel,Ward,,,,,,,,,,,0,,,,10,0,0,0
Alex,Wright,,,,,,,,,,,5.5,,,,16,5.5,0,1
Shelby,Harris,,,,,,,,,,,1,,,,17,1,0,0
Isaiah,McGuire,,,,,,,,,,,2,,,,13,2,0,1
Cameron,Thomas,,,,,,,,,,,2.5,,,,21,2.5,0,0
Maliek,Collins,,,,,,,,,,,6.5,,,,10,6.5,0,0
Greg,Newsome II,,,,,,,,,,,0,,,,5,0,0,0
Adin,Huntington,,,,,,,,,,,0.5,,,,8,0.5,0,0
Devin,Bush,,,164,,54.7,,,3,,,,,,,,,,
Ronnie,Hickman Jr.,,,31,,15.5,,,2,,,,,,,,,,
Carson,Schwesinger,,,16,,8,,,2,,,,,,,,,,
Tyson,Campbell,,,34,,34,,,1,,,,,,,,,,
Grant,Delpit,,,25,,25,,,1,,,,,,,,,,
Rayshawn,Jenkins,,,9,,9,,,1,,,,,,,,,,
Denzel,Ward,,,13,,13,,,1,,,,,,,,,,
Andre,Szmyt,,,,,,,,,,,,,,,,,,
Corey,Bojorquez,,,4165,,,,,,,,,,,,,,,
Gage,Larvadain,,,,,,0,,,,,,,,,,,,
DeAndre,Carter,,,,,,0,,,,,,,,,,,,
Isaiah,Bond,,,,,,0,,,,,,,,,,,,
Malachi,Corley,,,492,,,0,,,,,,,,,,,,
Dylan,Sampson,,,360,,,0,,,,,,,,,,,,
Jerome,Ford,,,294,,,0,,,,,,,,,,,,
DeAndre,Carter,,,274,,,0,,,,,,,,,,,,
Trayveon,Williams,,,139,,,0,,,,,,,,,,,,
Kaden,Davis,,,28,,,0,,,,,,,,,,,,
